city,cityCode,city_id,addTime,week,level,levelCode,color,elenum,levelMsg,eletype
北京,beijing,101010100,2023-04-16,星期日,未检测,0,#999999,51,无花粉,花粉
北京,beijing,101010100,2023-04-17,星期一,未检测,0,#999999,58,无花粉,花粉
北京,beijing,101010100,2023-04-18,星期二,很低,1,#81CB31,52,不易引发过敏反应。,花粉
北京,beijing,101010100,2023-04-19,星期三,很低,1,#81CB31,5,不易引发过敏反应。,花粉
北京,beijing,101010100,2023-04-20,星期四,较低,2,#A1FF3D,42,对极敏感人群可能引发过敏反应。,花粉
北京,beijing,101010100,2023-04-21,星期五,偏高,3,#F5EE32,57,易引发过敏，加强防护，对症用药。,花粉
北京,beijing,101010100,2023-04-22,星期六,偏高,3,#F5EE32,73,易引发过敏，加强防护，对症用药。,花粉
北京,beijing,101010100,2023-04-23,星期日,偏高,3,#F5EE32,53,易引发过敏，加强防护，对症用药。,花粉
北京,beijing,101010100,2023-04-24,星期一,偏高,3,#F5EE32,45,易引发过敏，加强防护，对症用药。,花粉
北京,beijing,101010100,2023-04-25,星期二,较高,4,#FFAF13,76,易引发过敏，加强防护，规范用药。,花粉
北京,beijing,101010100,2023-04-26,星期三,较高,4,#FFAF13,91,易引发过敏，加强防护，规范用药。,花粉
北京,beijing,101010100,2023-04-27,星期四,较高,4,#FFAF13,25,易引发过敏，加强防护，规范用药。,花粉
北京,beijing,101010100,2023-04-28,星期五,很高,5,#FF2319,48,极易引发过敏，减少外出，持续规范用药。,花粉
北京,beijing,101010100,2023-04-29,星期六,较高,4,#FFAF13,77,易引发过敏，加强防护，规范用药。,花粉
北京,beijing,101010100,2023-04-30,星期日,很高,5,#FF2319,57,极易引发过敏，减少外出，持续规范用药。,花粉
北京,beijing,101010100,2023-05-01,星期一,较高,4,#FFAF13,65,易引发过敏，加强防护，规范用药。,花粉
北京,beijing,101010100,2023-05-02,星期二,较高,4,#FFAF13,54,易引发过敏，加强防护，规范用药。,花粉
北京,beijing,101010100,2023-05-03,星期三,很高,5,#FF2319,22,极易引发过敏，减少外出，持续规范用药。,花粉
北京,beijing,101010100,2023-05-04,星期四,很高,5,#FF2319,77,极易引发过敏，减少外出，持续规范用药。,花粉
北京,beijing,101010100,2023-05-05,星期五,很高,5,#FF2319,99,极易引发过敏，减少外出，持续规范用药。,花粉
北京,beijing,101010100,2023-05-06,星期六,很高,5,#FF2319,72,极易引发过敏，减少外出，持续规范用药。,花粉
北京,beijing,101010100,2023-05-07,星期日,很高,5,#FF2319,22,极易引发过敏，减少外出，持续规范用药。,花粉
北京,beijing,101010100,2023-05-08,星期一,很高,5,#FF2319,60,极易引发过敏，减少外出，持续规范用药。,花粉
北京,beijing,101010100,2023-05-09,星期二,偏高,3,#F5EE32,94,易引发过敏，加强防护，对症用药。,花粉
北京,beijing,101010100,2023-05-10,星期三,偏高,3,#F5EE32,57,易引发过敏，加强防护，对症用药。,花粉
北京,beijing,101010100,2023-05-11,星期四,偏高,3,#F5EE32,28,易引发过敏，加强防护，对症用药。,花粉
北京,beijing,101010100,2023-05-12,星期五,较低,2,#A1FF3D,34,对极敏感人群可能引发过敏反应。,花粉
北京,beijing,101010100,2023-05-13,星期六,较低,2,#A1FF3D,84,对极敏感人群可能引发过敏反应。,花粉
北京,beijing,101010100,2023-05-14,星期日,很低,1,#81CB31,31,不易引发过敏反应。,花粉
北京,beijing,101010100,2023-05-15,星期一,很低,1,#81CB31,82,不易引发过敏反应。,花粉
上海,shanghai,101020100,2023-04-16,星期日,未检测,0,#999999,19,无花粉,花粉
上海,shanghai,101020100,2023-04-17,星期一,未检测,0,#999999,3,无花粉,花粉
上海,shanghai,101020100,2023-04-18,星期二,未检测,0,#999999,71,无花粉,花粉
上海,shanghai,101020100,2023-04-19,星期三,很低,1,#81CB31,89,不易引发过敏反应。,花粉
上海,shanghai,101020100,2023-04-20,星期四,较低,2,#A1FF3D,55,对极敏感人群可能引发过敏反应。,花粉
上海,shanghai,101020100,2023-04-21,星期五,偏高,3,#F5EE32,98,易引发过敏，加强防护，对症用药。,花粉
上海,shanghai,101020100,2023-04-22,星期六,偏高,3,#F5EE32,71,易引发过敏，加强防护，对症用药。,花粉
上海,shanghai,101020100,2023-04-23,星期日,较高,4,#FFAF13,45,易引发过敏，加强防护，规范用药。,花粉
上海,shanghai,101020100,2023-04-24,星期一,较高,4,#FFAF13,39,易引发过敏，加强防护，规范用药。,花粉
上海,shanghai,101020100,2023-04-25,星期二,较高,4,#FFAF13,7,易引发过敏，加强防护，规范用药。,花粉
上海,shanghai,101020100,2023-04-26,星期三,较高,4,#FFAF13,19,易引发过敏，加强防护，规范用药。,花粉
上海,shanghai,101020100,2023-04-27,星期四,很高,5,#FF2319,21,极易引发过敏，减少外出，持续规范用药。,花粉
上海,shanghai,101020100,2023-04-28,星期五,较高,4,#FFAF13,77,易引发过敏，加强防护，规范用药。,花粉
上海,shanghai,101020100,2023-04-29,星期六,较高,4,#FFAF13,47,易引发过敏，加强防护，规范用药。,花粉
上海,shanghai,101020100,2023-04-30,星期日,很高,5,#FF2319,65,极易引发过敏，减少外出，持续规范用药。,花粉
上海,shanghai,101020100,2023-05-01,星期一,很高,5,#FF2319,88,极易引发过敏，减少外出，持续规范用药。,花粉
上海,shanghai,101020100,2023-05-02,星期二,很高,5,#FF2319,38,极易引发过敏，减少外出，持续规范用药。,花粉
上海,shanghai,101020100,2023-05-03,星期三,很高,5,#FF2319,81,极易引发过敏，减少外出，持续规范用药。,花粉
上海,shanghai,101020100,2023-05-04,星期四,较高,4,#FFAF13,59,易引发过敏，加强防护，规范用药。,花粉
上海,shanghai,101020100,2023-05-05,星期五,很高,5,#FF2319,15,极易引发过敏，减少外出，持续规范用药。,花粉
